I17_kodas_is,I17_kodas_ps,I17_kodas_os,I17_serija  ,I17_kodas_us_a,I17_kodas_us,I17_frakcija,I17_kiekis      ,I17_atiduota    ,I17_rezervas    ,I17_pard_uzs    ,I17_pirk_uzs    ,I17_suma      ,I17_p_pir_k   ,I17_p_pir_d         ,I17_p_par_k   ,I17_p_par_d         ,I17_vid_uzs     ,I17_reikalavimas,I17_kelyje      ,I17_kaina     ,I17_useris  ,I17_addusr  ,I17_r_date          ,Kiekis_a                      ,Kiekis_p                      ,Kiekis_at                     ,Kiekis_re                     ,Bar_kodas   ,P_pav                                                                                                                   ,Kaina         ,Kiekis_ke                     ,Kiekis_fi                     ,Kiekis_piu                    ,Kiekis_pru                    ,N17_kodas_ls_1,N17_kodas_ls_2,N17_kodas_ls_3,N17_kodas_ls_4,N17_kodas_ls_5,N17_kodas_ls_6,N17_kodas_ls_7,N17_kodas_ls_8,P_pavu                                                                                                                                                ,Men_pav                                                                                                                                               ,N17_kod_t                ,N17_kod_t1               ,N17_kod_t2               ,Sav_kaina     ,N17_kodas_ks,N17_kodas_gs,N37_koefici     ,N37_frakcija_a,I33_kodas_ps,I33_kodas_is,I33_kodas_us,I33_kaina     ,I33_kaina_new ,I33_ppk       ,I33_ppk_date        ,I33_kodas_vl,I33_ppk_val         ,I33_ppk_sav   ,I33_ppk_sav_date    ,I33_addusr  ,I33_useris  ,I33_r_date          ,I33_formatas,I33_poz,I33_kaina_baz ,I33_poz_pos,I33_nuol_gr,I33_max_nuol  ,I33_poz_date,I33_beg_date        ,I33_end_date        ,I33_nuolaida  ,I33_kaina_date      ,N17_kodas_ps
8,V-0009      ,24-SR25     ,            ,VNT           ,VNT         ,1,1,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                1   VNT.......,                1   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, dvi sekcijos, þenklas pëstysis + dviratis                                                  ",0,                              ,1,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0009      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0009      
3,V-0010      ,24-SR25     ,            ,VNT           ,VNT         ,1,10,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               10   VNT.......,               10   VNT.......,0,0,0,"Ðviesoforas Spinnea, 200 mm, dvi sekcijos, þenklas pëstysis                                                             ",0,                              ,10,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0010      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0010      
3,V-0011      ,24-SR25     ,            ,VNT           ,VNT         ,1,14,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               14   VNT.......,               14   VNT.......,0,0,0,"Plastikinis dangtelis ðviesoforui Spinnea, 200 mm, stovintis þmogeliukas                                                ",0,                              ,14,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0011      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0011      
3,V-0012      ,24-SR25     ,            ,VNT           ,VNT         ,1,14,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,               14   VNT.......,               14   VNT.......,0,0,0,"Plastikinis dangtelis ðviesoforui Spinnea, 200 mm, einantis þmogeliukas                                                 ",0,                              ,14,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0012      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0012      
3,V-0013      ,24-SR25     ,            ,VNT           ,VNT         ,1,304,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,              304   VNT.......,              304   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë' Spinnea, 200 mm                                                                                   ",0,                              ,304,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0013      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0013      
8,V-0013      ,24-SR25     ,            ,VNT           ,VNT         ,1,2,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                2   VNT.......,                2   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë' Spinnea, 200 mm                                                                                   ",0,                              ,2,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0013      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0013      
3,V-0014      ,24-SR25     ,            ,VNT           ,VNT         ,1,122,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,              122   VNT.......,              122   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë'  Spinnea, 300 mm                                                                                  ",0,                              ,122,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0014      ,3,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0014      
8,V-0014      ,24-SR25     ,            ,VNT           ,VNT         ,1,16,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,               16   VNT.......,               16   VNT.......,0,0,0,"Ðviesoforo 'kepurëlë'  Spinnea, 300 mm                                                                                  ",0,                              ,16,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0014      ,8,VNT         ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0014      
3,V-0015      ,24-SR25     ,            ,KOMPL.        ,KOMPL.      ,1,153,0,0,0,0,0,0,2025.04.30 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:51    ,                  153   KOMPL.,                  153   KOMPL.,0,0,0,Ðviesoforo tvirtinimo elementai Spinnea                                                                                 ,0,                              ,153,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0015      ,3,KOMPL.      ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.04.30 20:38    ,0,       ,0,1,           ,0,0,2025.04.30 00:00    ,2025.04.30 00:00    ,0,1900.01.01 00:00    ,V-0015      
8,V-0015      ,24-SR25     ,            ,KOMPL.        ,KOMPL.      ,1,6,0,0,0,0,0,0,2025.05.08 00:00    ,0,1900.01.01 00:00    ,0,0,0,0,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,                    6   KOMPL.,                    6   KOMPL.,0,0,0,Ðviesoforo tvirtinimo elementai Spinnea                                                                                 ,0,                              ,6,0,0,              ,              ,              ,              ,              ,              ,              ,              ,                                                                                                                                                      ,                                                                                                                                                      ,                         ,                         ,                         ,0,            ,            ,1,1,V-0015      ,8,KOMPL.      ,0,0,0,1900.01.01 00:00    ,            ,0,0,1900.01.01 00:00    ,VADIMAS     ,VADIMAS     ,2025.05.08 11:52    ,0,       ,0,1,           ,0,0,2025.05.08 00:00    ,2025.05.08 00:00    ,0,1900.01.01 00:00    ,V-0015      
